Dataset,URL
ami,https://groups.inf.ed.ac.uk/ami/corpus/overview.shtml
common_voice,https://commonvoice.mozilla.org/
lj_speech,https://keithito.com/LJ-Speech-Dataset/
multilingual_librispeech,https://arxiv.org/abs/2012.03411v2
vctk,https://datashare.ed.ac.uk/handle/10283/3443
vivos,https://zenodo.org/record/7068130#.Y-FndHDMIuU
Lacito/pangloss,https://pangloss.cnrs.fr/?lang=en
Harveenchadha/indic-voice,https://github.com/harveenchadha/indic-voice
anton-l/common_language,https://huggingface.co/datasets/common_language
bhigy/buckeye_asr,https://buckeyecorpus.osu.edu/
collectivat/tv3_parla,https://collectivat.cat/rap
gigant/african_accented_french,https://huggingface.co/datasets/gigant/african_accented_french
M-AILABS Speech Dataset,https://www.caito.de/2019/01/03/the-m-ailabs-speech-dataset/
gigant/romanian_speech_synthesis_0_8_1,https://huggingface.co/datasets/gigant/romanian_speech_synthesis_0_8_1
pariajm/sharif_emotional_speech_dataset,https://github.com/pariajm/sharif-emotional-speech-dataset
MLCommons/ml_spoken_words,https://mlcommons.org/en/multilingual-spoken-words/
projecte-aina/parlament_parla,https://mlcommons.org/en/multilingual-spoken-words/
A Collection of Single Speaker Speech Datasets for 10 Languages,https://arxiv.org/abs/1903.11269
Bingsu/KSS_Dataset,https://www.kaggle.com/datasets/bryanpark/korean-single-speaker-speech-dataset/versions/2
The North-Eastern Neo-Aramaic Database Project (cam.ac.uk),https://nena.ames.cam.ac.uk/dialects/
patrickvonplaten/librispeech_asr_self_contained,http://www.openslr.org/12
LIUM/tedlium,https://huggingface.co/datasets/LIUM/tedlium
TITML,https://research.nii.ac.jp/src/en/TITML-IDN.html
Bingsu/zeroth-korean,http://www.openslr.org/40
sil-ai/audio-keyword-spotting,https://huggingface.co/datasets/sil-ai/audio-keyword-spotting
indonesian-nlp/librivox-indonesia,https://huggingface.co/datasets/indonesian-nlp/librivox-indonesia
TIMIT,https://catalog.ldc.upenn.edu/LDC93S1
WSJ0,CSR-I (WSJ0) Complete - Linguistic Data Consortium (upenn.edu)
VoxForge,http://www.voxforge.org/home
WSJCAM0 ,WSJCAM0 Cambridge Read News - Linguistic Data Consortium (upenn.edu)
LibriSpeech,http://www.openslr.org/12
Speech Commands,https://arxiv.org/abs/1804.03209
NISP,https://github.com/iiscleap/NISP-Dataset
AISHELL-1,http://www.openslr.org/33/
AISHELL-2,https://github.com/kaldi-asr/kaldi/tree/master/egs/aishell2
BD-4SK-ASR,https://github.com/KurdishBLARK/BD-4SK-ASR
CHiME-5,https://github.com/kaldi-asr/kaldi/tree/master/egs/chime5/s5
ClovaCall,https://github.com/ClovaAI/ClovaCall
FT Speech,https://ftspeech.github.io/
LibriCSS,https://github.com/chenzhuo1011/libri_css
LibriMix,https://github.com/JorisCos/LibriMix
LibriVoxDeEn,https://www.cl.uni-heidelberg.de/statnlpgroup/librivoxdeen/
MASRI-HEADSET,https://www.um.edu.mt/projects/masri/index.html
MaSS,https://github.com/getalp/mass-dataset
THCHS-30,http://data.cslt.org/thchs30/README.html
VoxPopuli,https://github.com/facebookresearch/voxpopuli
Kite,http://kite.speed.pub.ro/
JSS Dataset,https://github.com/kakaobrain/jejueo
2000 HUB5 English,https://catalog.ldc.upenn.edu/LDC2002T43
Parkinson Speech Dataset,https://archive.ics.uci.edu/ml/datasets/Parkinson+Speech+Dataset+with++Multiple+Types+of+Sound+Recordings
Arabic Speech Corpus,http://en.arabicspeechcorpus.com/
CMU Wilderness Multilingual Speech Dataset,http://festvox.org/cmu_wilderness/
NISP- A Multi-lingual Multi-accent Dataset for Speaker Profiling,https://github.com/iiscleap/NISP-Dataset
Deeply Korean read speech,https://github.com/deeplyinc/Korean-Read-Speech-Corpus/blob/main/README.md
Switchboard-1 Corpus,https://catalog.ldc.upenn.edu/LDC97S62
MRDA,http://www1.icsi.berkeley.edu/Speech/mr//
BABEL Project,http://www1.icsi.berkeley.edu/Speech/mr/
SwissDial,http://www.reading.ac.uk/AcaDepts/ll/speechlab/babel/
LaboroTVSpeech,https://github.com/laboroai/LaboroTVSpeech
Auto-KWS,https://www.4paradigm.com/competition/autospeech2021
speechocean762,https://www.openslr.org/101
SPGISpeech,https://datasets.kensho.com/datasets/scribe
EasyCall,https://arxiv.org/pdf/2104.02542v1.pdf
BSTC,https://ai.baidu.com/broad/introduction?dataset=bstc
MediaSpeech,https://github.com/NTRLab/MediaSpeech
NISQA Speech Quality Corpus,https://github.com/gabrielmittag/NISQA/
KazakhTTS,https://github.com/IS2AI/Kazakh_TTS
AISHELL-3,http://www.aishelltech.com/aishell_3
Earnings-21,https://github.com/revdotcom/speech-datasets/tree/main/earnings21
MUSAN,http://www.openslr.org/17/
VOICES,https://registry.opendata.aws/lab41-sri-voices/
CSRC,https://www.data-baker.com/csrc_challenge.html
GigaSpeech,https://github.com/SpeechColab/GigaSpeech
GOLOS,https://github.com/sberdevices/golos
Vāksañcayaḥ,https://www.cse.iitb.ac.in/~asr/
CrowdSpeech,https://github.com/pilot7747/VoxDIY
VESUS,https://engineering.jhu.edu/nsa/vesus/
OLR 2020dialect,http://cslt.riit.tsinghua.edu.cn/mediawiki/index.php/OLR_Challenge_2021
WenetSpeech,https://wenet-e2e.github.io/WenetSpeech/
TUDA,https://www.inf.uni-hamburg.de/en/inst/ab/lt/resources/data/acoustic-models.html
RTASC,https://doi.org/10.5281/zenodo.4626539
CI-AVSR,https://github.com/HLTCHKUST/CI-AVSR
EmoSpeech,https://github.com/RakshakTeam/emospeech-dataset-v1
American English Speech Data,https://bit.ly/3LkA3pB
MagicData-RAMC,MagicHub-io/MagicData-RAMC: MagicData-RAMC Dataset and Baseline (github.com)
Vystadial,http://www.openslr.org/6/
THUYG-20        ,http://www.openslr.org/22/
Iban,https://magichub.com/datasets/iban-speech-corpora-for-asr/
ALFFA,http://www.openslr.org/25/
Surfingtech  Chinese Mandarin Corpus co switch,http://www.surfing.ai/Datasets/155.html
Heroico,http://openslr.org/39/
Surfingtech   American English Corpus,https://openslr.magicdatatech.com/45/
Tunisian_MSA,https://openslr.magicdatatech.com/46/
Primewords Chinese,http://www.openslr.org/47/
Pansori-TEDxKR,yc9701/pansori-tedxkr-corpus: Korean ASR Corpus generated from TEDx talks (github.com)
aidatatang_200zh        ,http://openslr.org/62/
CN-Celeb        ,http://cnceleb.org/
